id,title,year,search_query
1,Jurassic Park,1993,Jurassic Park 1993 T-Rex attacks jeep rain night
2,Jurassic Park,1993,Jurassic Park 1993 velociraptors kitchen children
3,Jaws,1975,Jaws 1975 Quint eaten great white shark sinking Orca
4,Jaws,1975,Jaws 1975 Brody clings mast sinking Orca scuba tank
5,The Silence of the Lambs,1991,Silence of the Lambs 1991 Clarice dark basement night vision killer
6,Aliens,1986,Aliens 1986 Ripley power loader fights Alien Queen cargo bay
7,The Lion King,1994,Lion King 1994 Simba wildebeest stampede gorge Mufasa falls
8,Titanic,1997,Titanic 1997 Jack Rose stern sinking vertically ocean
9,Titanic,1997,Titanic 1997 Rose floats debris freezing ocean Jack submerges
10,The Matrix,1999,Matrix 1999 Neo dodges bullets rooftop bullet time slow motion
11,Raiders of the Lost Ark,1981,Raiders of the Lost Ark 1981 Indy runs giant boulder cave
12,Raiders of the Lost Ark,1981,Raiders of the Lost Ark 1981 Indy pit of snakes Well of Souls
13,Indiana Jones and the Temple of Doom,1984,Temple of Doom 1984 Indy hangs lava pit rope bridge
14,Indiana Jones and the Last Crusade,1989,Last Crusade 1989 Indy walks off cliff invisible bridge
15,The Shining,1980,The Shining 1980 Wendy cornered Jack axe bathroom door
16,Psycho,1960,Psycho 1960 Marion stabbed shower Bates Motel
17,The Birds,1963,The Birds 1963 Tippi Hedren attacked birds attic bedroom
18,Alien,1979,Alien 1979 Kane facehugger bursts egg attaches helmet
19,Alien,1979,Alien 1979 chestburster erupts Kane chest dinner table
20,Terminator 2 Judgment Day,1991,Terminator 2 1991 Sarah Connor chased T-1000 hospital corridor
21,Terminator 2 Judgment Day,1991,Terminator 2 1991 John Connor chased T-1000 truck concrete canal
22,The Dark Knight,2008,The Dark Knight 2008 Batman falls skyscraper grappling building
23,Die Hard,1988,Die Hard 1988 McClane hangs Nakatomi Plaza roof firehose barefoot
24,Die Hard,1988,Die Hard 1988 McClane crawls ventilation shaft terrorists below
